source,reference,MarianMT_hyp,MarianMT_bleu,NLLB_hyp,NLLB_bleu,mBART-50_hyp,mBART-50_bleu,GoogleTranslate_hyp,GoogleTranslate_bleu,avg_bleu,src_len,len_bucket
They never believed he died the way the sheriff concluded.,उन्हें शेरिफ के बताये गये तरीके से मृत्यु पर बिलकुल भी भरोसा नहीं है।,उन्होंने कभी विश्वास नहीं किया कि वह जिस तरह से प्रधान की मृत्यु हुई.,22.551665711721384,उन्होंने कभी भी विश्वास नहीं किया कि वह मर गया है जैसा कि शेरिफ ने निष्कर्ष निकाला।,17.974105644071837,वे कभी भी ऐसा नहीं मानते थे कि वे शेरीफ के अनुसार मर गये थे।,18.835064733964632,"जिस तरह से शेरिफ ने निष्कर्ष निकाला, उन्होंने कभी विश्वास नहीं किया कि वह मर गया।",17.351701210178128,19.178134324983994,10,6-10
People crowded the jewellery shops in Simla.,शिमला में आभूषणों की दुकानों में लोंगों का हुजूम लगा रहा।,लोग सीला में रत्न की दुकानों में भीड़ - भाड़ में आते हैं ।,37.31567820275832,सिमला में आभूषण की दुकानों में भीड़ थी।,43.309485846106575,लोगों ने सिमला के रत्न दुकानों में भीड़ भरी।,28.796290277542397,शिमला में आभूषणों की दुकानों पर लोगों की भीड़ उमड़ पड़ी।,57.605487045983,41.756735343097574,7,6-10
Many on Wall Street view the addition of baggage fees as a sign that airlines are charging enough money to cover the cost of air travel after years of losses.,वॉल स्ट्रीट पर  बैगेज की फीस एक संकेत के रूप में कई देख रहे हैं कि कई एयरलाइन घाटे के वर्षों के बाद हवाई यात्रा की लागत को कवर करने के लिए पर्याप्त पैसे चार्ज कर रहे हैं.,"इसके अलावा, कई लोगों को लगता है कि माल खरीदने के लिए पैसा ही काफी होता है ।",7.309447398264436,वॉल स्ट्रीट में कई लोग सामान शुल्क को जोड़ने को इस बात का संकेत मानते हैं कि एयरलाइनें वर्षों के नुकसान के बाद हवाई यात्रा की लागत को कवर करने के लिए पर्याप्त धन वसूल रही हैं।,57.60462760621756,वॉल स्ट्रीट में बहुत से लोग बैगेज फीस की वृद्धि को इस संकेत के रूप में देखते हैं कि एयरलाइनों ने वर्षों के नुकसान के बाद हवाई यात्रा की लागत को पूरा करने के लिए पर्याप्त पैसे खर्च कर रहे हैं।,63.36690082433346,वॉल स्ट्रीट पर कई लोग सामान शुल्क में बढ़ोतरी को एक संकेत के रूप में देखते हैं कि एयरलाइंस वर्षों के घाटे के बाद हवाई यात्रा की लागत को कवर करने के लिए पर्याप्त पैसा ले रही हैं।,68.07005265245813,49.0877571203184,30,21-35
"Earlier research had revealed that happy dogs wag their tails more to the right (from the dog's point of view), while nervous dogs have a left-dominated swish.","पिछले शोधों से पता चला है कि खुश कुत्ते अपनी दुम को दाईं ओर ज्यादा हिलाते हैं (कुत्ते की दृष्टि से), जबकि बेचैन कुत्ते अपनी पूंछ को मुख्य रूप से बाईं ओर ज्यादा हिलाते हैं।","पहले शोध ने प्रकट किया था कि खुश कुत्ते अपनी पूंछ और अधिक अपनी पूंछ दाएँ (किंग के दृष्टिकोण से), जबकि कुत्तों के पास एक बाईं ओर के कुत्ते हैं.",40.64533248588678,"इससे पहले किए गए शोध से पता चला था कि खुश कुत्तों को अपनी पूंछ को अधिक दाईं ओर (कुत्तों के दृष्टिकोण से) हिलाया जाता है, जबकि घबराहट वाले कुत्तों में बाएं हाथ का दबदबा होता है।",41.74119595885548,"पूर्व अनुसंधानों से पता चला था कि प्रसन्न कुत्ते अपने पूंछों को अधिक दाहिनी ओर (कुत्ते की दृष्टि से) झुकाते हैं, जबकि चिंतित कुत्ते में बाएँ-अधिक प्रभावी झुकाव होता है।",43.572932326751825,"पहले के शोध से पता चला था कि खुश कुत्ते अपनी पूंछ को दाहिनी ओर अधिक हिलाते हैं (कुत्ते के दृष्टिकोण से), जबकि घबराए हुए कुत्ते बाईं ओर की ओर अधिक हिलाते हैं।",59.095956223804734,46.2638542488247,27,21-35
"Why is it that we shouldn't have a system where you can walk in, punch your details into a computer, vote immediately and have a result at 6.30 that night?","ऐसा क्यों नहीं हो सकता कि हमारे पास एक ऐसी प्रणाली हो जिसमें हम कम्प्यूटर पर अपना विवररण भरें, तुरन्त वोट दें और शाम को 6:30 पर हमारे पास परिणाम हो।","क्यों है कि हम एक ऐसी प्रणाली नहीं होना चाहिए जहाँ आप चल सकते हैं, एक कंप्यूटर में अपनी विवरण पंच, तुरंत कि रात 630 में एक परिणाम है?",37.139779313719664,"हमारे पास ऐसी प्रणाली क्यों नहीं होनी चाहिए जहाँ आप अंदर आकर अपने विवरण कंप्यूटर में डाल सकते हैं, तुरंत मतदान कर सकते हैं और उस रात 6.30 बजे परिणाम प्राप्त कर सकते हैं?",38.3729609535258,"यह क्यों नहीं है कि हमारे पास एक ऐसी प्रणाली नहीं होनी चाहिए जिसमें आप प्रवेश कर सकते हैं, अपने विवरण कंप्यूटर में लिख सकते हैं, तुरंत मतदान कर सकते हैं और उस रात 6.30 पर परिणाम प्राप्त कर सकते हैं?",39.52106144373298,"ऐसा क्यों है कि हमारे पास ऐसी प्रणाली नहीं होनी चाहिए जहां आप आ सकें, अपना विवरण कंप्यूटर में डाल सकें, तुरंत मतदान कर सकें और उस रात 6.30 बजे परिणाम प्राप्त कर सकें?",44.0767215516325,39.77763081565274,30,21-35
"The youngster, from the village of Nantyglo, near Ebbw Vale, South Wales, is following in the footsteps of his aunt Sharon Howells, who has been showing horses for more than 10 years.","एब वेल, साउथ वेल्स के समीप नैन्टीग्लो गांव का यह छोटा बच्चा अपनी आन्टी शैरॉन हॉवेल्स के पदचिह्नों पर चल रहा है जो 10 वर्ष से अधिक समय से घोड़ों का प्रदर्शन कर रही हैं।","दक्षिण वेल्स के पास, नीगवे नाम के गाँव से एक जवान अपनी मौसी शैरन की मिसाल पर चल रहा है, जो 10 से भी ज़्यादा सालों से घोड़े दिखा रहा है ।",25.432736759073705,"दक्षिण वेल्स के इब्बव वैल के पास नैंटिग्लो गांव के रहने वाले ये युवक अपनी चाची शेरोन हाउल्स के नक्शेकदम पर चल रहा है, जो 10 साल से अधिक समय से घोड़ों का प्रदर्शन कर रही हैं।",53.92557826805502,"दक्षिण वेल्स के Ebbw घाटी के निकट नान्टीगलो के गांव से यह नौजवान अपने मौसी शेरोन ह्वाउल्स के पदचिन्हों पर चल रहा है, जो 10 वर्ष से अधिक समय से घोड़े दिखा रहा है.",46.024994689971464,"साउथ वेल्स के एबब वेले के पास नैंटीग्लो गांव का यह युवा अपनी चाची शेरोन हॉवेल्स के नक्शेकदम पर चल रहा है, जो 10 साल से अधिक समय से घोड़े दिखा रही हैं।",54.013947008230545,44.84931418133269,32,21-35
"""We need to have a better system,"" he said.","उन्होंने कहा ""हमारे पास एक बेहतर प्रणाली होनी चाहिए।""","""हम एक बेहतर प्रणाली होने की जरूरत है,"" उन्होंने कहा.",62.78370004277966,"उन्होंने कहा, ""हमें एक बेहतर प्रणाली की आवश्यकता है।",56.306300461487375,"उन्होंने कहा, ""हमारे पास बेहतर प्रणाली होनी चाहिए।""",88.2456635513641,"उन्होंने कहा, ''हमें एक बेहतर प्रणाली की जरूरत है।''",54.1345623396456,65.36755659881918,9,6-10
If scrap is stored properly and with proper lighting it can also become a piece of art.,स्क्रैप को अगर ठीक ढंग से जमा दिया जाए और प्रॉपर लाइटिंग हो तो यह भी आर्ट पीस बन सकता है।,"अगर इसे ठीक से जमा किया जाता है और सही रोशनी से बनाया जाता है, तो इसे कला का एक टुकड़ा भी बन सकता है ।",27.408880102637784,यदि स्क्रैप को ठीक से रखा जाए और उचित प्रकाश व्यवस्था के साथ यह भी कला का एक टुकड़ा बन सकता है।,37.11077657424477,यदि कचरे को उचित रूप से भंडारित किया जाए और उचित रोशनी दी जाए तो यह कलाकृति भी हो सकती है।,22.13226028651877,यदि स्क्रैप को उचित तरीके से और उचित प्रकाश व्यवस्था के साथ संग्रहित किया जाए तो यह कला का एक नमूना भी बन सकता है।,31.139062273072135,29.447744809118362,17,11-20
"And even if they could see a physician, many Cameroonians couldn't afford it.","और अगर वहां पर चिकित्सक हों, तो भी कैमरून के बहुत से निवासी उसका ख़र्च वहन नहीं कर सकते।","और अगर वे एक चिकित्सक देख सकता था भी, कई कैमरूनियन इसे उपलब्ध नहीं कर सकते थे.",40.1359859388318,"और यहां तक कि अगर वे एक डॉक्टर को देख सकते थे, तो कई कैमरूनियन इसे बर्दाश्त नहीं कर सकते थे।",31.884945099116763,"और अगर वे एक चिकित्सक को देख सकें तो भी, बहुत से कैमरूनियों को यह पैसा नहीं मिल सका।",42.146554254915706,"और भले ही वे किसी चिकित्सक को दिखा सकें, कई कैमरूनवासी इसे वहन नहीं कर सकते थे।",42.40656269981028,39.14351199816864,13,11-20
They asked some subjects to count the number of dots on a computer screen.,उन्होंने कुछ लोगों से कंप्यूटर स्क्रीन पर बिंदुओं की संख्या बताने को कहा।,उन्होंने कुछ विषयों से पूछा कि कंप्यूटर स्क्रीन पर बिन्दुओं की संख्या गिनें.,65.97403799325627,उन्होंने कुछ विषयों से कंप्यूटर स्क्रीन पर बिंदुओं की संख्या गिनने को कहा।,83.67681166981687,उन्होंने कुछ व्यक्तियों से कंप्यूटर स्क्रीन पर बिंदुओं की संख्या गिनने के लिए कहा।,71.77427430042913,उन्होंने कुछ विषयों से कंप्यूटर स्क्रीन पर बिंदुओं की संख्या गिनने के लिए कहा।,75.95998948751371,74.34627836275399,14,11-20
